trade_date,gross_ret,net_ret,turnover,n_positions,cap_hit_ratio
2024-01-07,0.000843215981595475,0.000843215981595475,0.0,1,1.0
2024-01-10,0.003794430593947775,0.003794430593947775,0.0,1,1.0
2024-01-11,-0.0029689779739817,-0.0029689779739817,0.0,1,1.0
2024-01-12,0.002236119364349675,0.002236119364349675,0.0,1,1.0
2024-01-13,0.0010519231995718,0.0010519231995718,0.0,1,1.0
2024-01-14,-0.000887729609169675,-0.000887729609169675,0.0,1,1.0
2024-01-17,0.001142935492288875,0.001142935492288875,0.0,1,1.0
2024-01-18,0.004867789600807025,0.004867789600807025,0.0,1,1.0
2024-01-19,0.00254768746296235,0.00254768746296235,0.0,1,1.0
2024-01-20,0.00429825157734135,0.00429825157734135,0.0,1,1.0
2024-01-21,0.00059413251826495,0.00059413251826495,0.0,1,1.0
2024-01-24,-0.002504751142338025,-0.002504751142338025,0.0,1,1.0
2024-01-25,0.000285705195243275,0.000285705195243275,0.0,1,1.0
2024-01-26,-0.002340118024069175,-0.002340118024069175,0.0,1,1.0
2024-01-27,0.001908818450737125,0.001908818450737125,0.0,1,1.0
2024-01-28,0.001819905709275525,0.001819905709275525,0.0,1,1.0
2024-01-31,0.004597116219007525,0.004597116219007525,0.0,1,1.0
2024-02-01,-0.001932834788409575,-0.001932834788409575,0.0,1,1.0
2024-02-02,0.0013035965496576,0.0013035965496576,0.0,1,1.0
2024-02-03,0.00503274243792855,0.00503274243792855,0.0,1,1.0
2024-02-14,-0.000357219045214225,-0.000357219045214225,0.0,1,1.0
2024-02-15,0.005368978675345675,0.005368978675345675,0.0,1,1.0
2024-02-16,-0.000723528419398675,-0.000723528419398675,0.0,1,1.0
2024-02-17,0.002233616912103875,0.002233616912103875,0.0,1,1.0
2024-02-18,-0.00707049998434275,-0.00707049998434275,0.0,1,1.0
2024-02-21,0.0019667023821559,0.0019667023821559,0.0,1,1.0
2024-02-22,-0.0018786976102756,-0.0018786976102756,0.0,1,1.0
2024-02-23,0.001941263197080425,0.001941263197080425,0.0,1,1.0
2024-02-24,-0.00107091706628475,-0.00107091706628475,0.0,1,1.0
2024-02-25,-0.001111851793162275,-0.001111851793162275,0.0,1,1.0
2024-02-28,0.0024702322542872,0.0024702322542872,0.0,1,1.0
2024-02-29,-0.0009100309613407,-0.0009100309613407,0.0,1,1.0
2024-03-01,0.001121638537389425,0.001121638537389425,0.0,1,1.0
2024-03-02,0.001327870213827675,0.0012028702138276752,0.25,1,1.0
2024-03-03,0.000202099874681775,7.7099874681775e-05,0.25,1,1.0
2024-03-06,-0.001064969531544075,-0.001064969531544075,0.0,1,1.0
2024-03-07,-0.002538871979853175,-0.002538871979853175,0.0,1,1.0
2024-03-08,0.001072190598920875,0.001072190598920875,0.0,1,1.0
2024-03-09,-0.00223505146970625,-0.00236005146970625,0.25,1,1.0
2024-03-10,-0.0002491737197325,-0.0003741737197325,0.25,1,1.0
2024-03-13,-0.004119995576661075,-0.004119995576661075,0.0,1,1.0
2024-03-14,0.00093916949496835,0.00093916949496835,0.0,1,1.0
2024-03-15,0.003576035243421625,0.003576035243421625,0.0,1,1.0
2024-03-16,0.0024375131571501,0.0023125131571500998,0.25,1,1.0
2024-03-17,-8.44498337602e-05,-8.44498337602e-05,0.0,1,1.0
2024-03-20,-0.00396505735730355,-0.00396505735730355,0.0,1,1.0
2024-03-21,-0.00020497387964935,-0.00020497387964935,0.0,1,1.0
2024-03-22,-0.00103555662418685,-0.00103555662418685,0.0,1,1.0
2024-03-23,-0.001371766581269025,-0.0014967665812690252,0.25,1,1.0
2024-03-24,0.0024754672140172,0.0024754672140172,0.0,1,1.0
2024-03-27,-0.0025191665586397,-0.0026441665586397,0.25,1,1.0
2024-03-28,0.00201072415783635,0.00201072415783635,0.0,1,1.0
2024-03-29,-0.0024066266099471,-0.0024066266099471,0.0,1,1.0
2024-04-03,-0.000473497731754475,-0.0005984977317544751,0.25,1,1.0
