cap_weight,pos_alpha,max_to,rebalance_every,gamma,topk,sharpe_net,ann_ret_net,mdd_net,turnover_mean
0.35,0.25,0.1,5,0.5,2,2.4799611620299906,0.4297878469859786,-0.06718349032774196,0.015461280956843074
0.35,0.4,0.1,1,0.5,3,2.478626466418666,0.38938811108676874,-0.060519194038456625,0.07091770529613327
0.25,0.6,0.3,5,1.5,2,2.4785981032045923,0.40958405981731705,-0.06718349032774196,0.02843463576182863
0.35,0.6,0.3,5,1.5,1,2.477478280730548,0.3820797660261448,-0.04866132042840854,0.03705040333422427
0.35,0.4,0.1,5,1.5,3,2.4752723583702045,0.397319997399012,-0.06252082233048017,0.02009086908318855
0.25,0.4,0.3,5,1.0,2,2.47270663465333,0.4241180366856594,-0.06718349032774196,0.01317852987320886
0.25,0.4,0.5,5,1.0,2,2.47270663465333,0.4241180366856594,-0.06718349032774196,0.01317852987320886
0.25,0.6,0.5,5,1.0,3,2.4719887965485623,0.40543662184352036,-0.05856305453063981,0.028940108468883133
0.25,0.6,0.3,5,1.0,3,2.4712987279599794,0.4056285077500519,-0.05806196753160486,0.02902795317902565
0.35,0.25,0.1,5,1.0,2,2.470264931083181,0.4193701172357902,-0.06718349032774196,0.015173044796975245
0.35,0.4,0.1,5,1.0,1,2.4685280215932073,0.3828191354190362,-0.04220527878196012,0.014193774906978861
0.35,0.6,0.1,1,1.0,3,2.467901653567023,0.38691813896679883,-0.06072432284457219,0.0776475302777081
0.35,0.6,0.1,1,1.5,3,2.46769695429965,0.3878232055346329,-0.060748291399134735,0.07689848779353249
0.35,0.4,0.1,1,1.0,3,2.466424219437905,0.39166062666731793,-0.060519194038456625,0.07164084954050212
0.35,0.6,0.1,5,1.0,2,2.465883937087552,0.42522066470822906,-0.06718349032774196,0.012201817912040227
0.25,0.6,0.5,5,1.5,3,2.4658200652591757,0.4011015572756116,-0.05864640256867748,0.028670852839056342
0.25,0.4,0.5,5,0.5,2,2.4657497853765853,0.43091563738742145,-0.06718349032774196,0.013374047552128692
0.25,0.4,0.3,5,0.5,2,2.4657497853765853,0.43091563738742145,-0.06718349032774196,0.013374047552128692
0.25,0.6,0.3,5,1.5,3,2.4651175434256616,0.4012928513107006,-0.0586464025686777,0.028758697549198863
0.25,0.4,0.1,5,1.0,2,2.464968353049164,0.422275990317851,-0.06718349032774196,0.012590713927804493
0.25,0.4,0.1,5,1.5,2,2.4645485020767275,0.4218726474386243,-0.06718349032774196,0.01223024496954542
0.35,0.4,0.1,1,1.5,3,2.4620676424216836,0.39050229958251315,-0.06054383779680306,0.07094303147494956
0.35,0.6,0.1,5,0.5,2,2.4616943123248625,0.432446223453119,-0.06718349032774196,0.012419082720538778
