ticker,trade_date,alpha_score
688679.SH,2025-07-10,0.00242245081709869
920023.SH,2025-07-10,0.002422449784494921
300086.SZ,2025-07-11,0.0024224789040145013
300189.SZ,2025-07-11,0.0024224530221803615
300236.SZ,2025-07-11,0.002422463403291362
300321.SZ,2025-07-11,0.0024222948761158615
300344.SZ,2025-07-11,0.002422463050851589
300391.SZ,2025-07-11,0.002422446124569377
688125.SH,2025-07-11,0.0024224199312207206
688627.SH,2025-07-11,0.0024226066931715743
688679.SH,2025-07-11,0.0024224989506557862
920023.SH,2025-07-11,0.0024224515672273323
300086.SZ,2025-07-14,0.002422466404532678
300189.SZ,2025-07-14,0.002422460224158393
300236.SZ,2025-07-14,0.002422461945476827
300321.SZ,2025-07-14,0.002422460883154964
300344.SZ,2025-07-14,0.0024224595730098445
300391.SZ,2025-07-14,0.002422446135700726
688125.SH,2025-07-14,0.002422452543428284
688627.SH,2025-07-14,0.0024225006956343264
688679.SH,2025-07-14,0.0024224598102901636
920023.SH,2025-07-14,0.002422457038890532
300086.SZ,2025-07-15,0.002422558654103109
300189.SZ,2025-07-15,0.002422450606375533
300236.SZ,2025-07-15,0.0024225598041099166
300321.SZ,2025-07-15,0.0024223185849945885
300344.SZ,2025-07-15,0.002422419482159418
300391.SZ,2025-07-15,0.002422478516952715
688125.SH,2025-07-15,0.002422454125220066
688627.SH,2025-07-15,0.00242247315707331
688679.SH,2025-07-15,0.0024224550173272408
920023.SH,2025-07-15,0.002422457038890532
300086.SZ,2025-07-16,0.0024225108713899777
300189.SZ,2025-07-16,0.002422478578410388
300236.SZ,2025-07-16,0.002422485036745568
300321.SZ,2025-07-16,0.0024224544989009254
300344.SZ,2025-07-16,0.002422341467177912
300391.SZ,2025-07-16,0.002422429243180311
688125.SH,2025-07-16,0.0024224467930923557
688627.SH,2025-07-16,0.002422484947339082
688679.SH,2025-07-16,0.002422458300284853
920023.SH,2025-07-16,0.0024224458204409943
300086.SZ,2025-07-17,0.0024223738403364235
300189.SZ,2025-07-17,0.0024224753409404927
300236.SZ,2025-07-17,0.00242247329068934
300321.SZ,2025-07-17,0.0024224598585486368
300344.SZ,2025-07-17,0.002422580351985501
300391.SZ,2025-07-17,0.0024224364143721304
688125.SH,2025-07-17,0.002422625627730928
688627.SH,2025-07-17,0.0024224236177392113
688679.SH,2025-07-17,0.0024224602699745687
920023.SH,2025-07-17,0.0024227053262352717
300086.SZ,2025-07-18,0.0024223681135435667
300189.SZ,2025-07-18,0.0024225490658256635
300236.SZ,2025-07-18,0.0024227389110032744
300321.SZ,2025-07-18,0.0024226535586777303
300344.SZ,2025-07-18,0.002422908561107213
300391.SZ,2025-07-18,0.002422426551419393
688125.SH,2025-07-18,0.0024224505054913003
688627.SH,2025-07-18,0.0024224568632240278
688679.SH,2025-07-18,0.0024224544004959533
920023.SH,2025-07-18,0.0024224463964065235
300086.SZ,2025-07-21,0.0024225412071562434
300189.SZ,2025-07-21,0.002422445471381294
300236.SZ,2025-07-21,0.0024225313999798226
300321.SZ,2025-07-21,0.002422464975417287
300344.SZ,2025-07-21,0.0024225023329021373
300391.SZ,2025-07-21,0.002422444227096448
688125.SH,2025-07-21,0.002422526486866106
688627.SH,2025-07-21,0.0024224527728885017
688679.SH,2025-07-21,0.0024224579414351207
920023.SH,2025-07-21,0.0024224485175004897
300086.SZ,2025-07-22,0.0024226352074433566
300189.SZ,2025-07-22,0.002422565570631144
300236.SZ,2025-07-22,0.002422505500319114
300321.SZ,2025-07-22,0.002422469111739811
300344.SZ,2025-07-22,0.0024225370964432846
300391.SZ,2025-07-22,0.002422435100352107
688125.SH,2025-07-22,0.0024224483324250335
688627.SH,2025-07-22,0.0024224481022984833
688679.SH,2025-07-22,0.0024225713030230464
920023.SH,2025-07-22,0.0024225455422482735
300086.SZ,2025-07-23,0.002422732595219769
300189.SZ,2025-07-23,0.0024225447179611237
300236.SZ,2025-07-23,0.002422491646992815
300321.SZ,2025-07-23,0.002422472581980101
300344.SZ,2025-07-23,0.0024225295761066924
300391.SZ,2025-07-23,0.002422447628547529
688125.SH,2025-07-23,0.0024224423589197866
688627.SH,2025-07-23,0.002422432754988127
688679.SH,2025-07-23,0.002422457166654847
920023.SH,2025-07-23,0.0024225267536877103
300086.SZ,2025-07-24,0.0024225535972292327
300189.SZ,2025-07-24,0.002422436707250499
300236.SZ,2025-07-24,0.0024224963165729134
300321.SZ,2025-07-24,0.002422470838323582
300344.SZ,2025-07-24,0.002423162068517076
